ocreval Accuracy Report Version 7.0
-----------------------------------
   30591   Characters
    9175   Errors
   70.01%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   70.01%  Accuracy After Correction

     Ins    Subst      Del   Errors
       1        0   {}-{û}

   Count   Missed   %Right
    1371      839    38.80   {<\n>}
      64       22    65.62   { }
      22       13    40.91   {!}
     521       85    83.69   {(}
     435       21    95.17   {)}
       9        0   100.00   {+}
    1667       91    94.54   {,}
     261       46    82.38   {-}
    1483      176    88.13   {.}
      57       57     0.00   {0}
      21       21     0.00   {1}
      13       12     7.69   {2}
       4        4     0.00   {3}
      45       45     0.00   {4}
       2        2     0.00   {5}
      20       20     0.00   {6}
       4        4     0.00   {7}
       2        1    50.00   {8}
       7        6    14.29   {9}
      65       57    12.31   {:}
      75       15    80.00   {;}
     716      269    62.43   {A}
      34        0   100.00   {B}
     186       94    49.46   {C}
      13        4    69.23   {D}
     559       33    94.10   {E}
      18        5    72.22   {G}
     231        4    98.27   {H}
     714       11    98.46   {I}
      33        7    78.79   {J}
     526       25    95.25   {K}
      29       27     6.90   {L}
     243       13    94.65   {M}
     294       13    95.58   {N}
     220       40    81.82   {O}
     145       11    92.41   {P}
      25       24     4.00   {R}
     429       20    95.34   {S}
     505       22    95.64   {T}
     126       23    81.75   {U}
      20       14    30.00   {V}
     859       27    96.86   {W}
     107        5    95.33   {Y}
    1895       64    96.62   {a}
     218       11    94.95   {b}
     706       36    94.90   {c}
     575       66    88.52   {d}
    2494      174    93.02   {e}
     276        9    96.74   {f}
     151        6    96.03   {g}
     192        4    97.92   {h}
    1548       96    93.80   {i}
      89        6    93.26   {j}
     468       17    96.37   {k}
     947      109    88.49   {l}
     547       16    97.07   {m}
    1266       19    98.50   {n}
     971       21    97.84   {o}
     467        3    99.36   {p}
     178       19    89.33   {q}
     976       49    94.98   {r}
    1209       36    97.02   {s}
    1203      129    89.28   {t}
     983       27    97.25   {u}
     470       22    95.32   {v}
     371      140    62.26   {w}
      71       13    81.69   {x}
     128        2    98.44   {y}
      12        0   100.00   {z}
